term,english
Project,Project
Site,Site
Year,Year
Parcel,Parcel
Block,Block
doseN,N dose (kg/ha)
doseP,P dose (kg/ha)
doseK,K dose (kg/ha)
yield,Berry yield (kg/ha)
Berry dry matter_fraction,Berry dry matter fraction
pH,pH
P dose (kg/ha),P dose (kg/ha)
K dose (kg/ha),K dose (kg/ha)
Latitude,Latitude
Longitude,Longitude
weather_current.total_precip_04,"Total precipitations (mm) - April, fruit-bearing year"
weather_current.total_precip_05,"Total precipitations (mm) - May, fruit-bearing year"
weather_current.total_precip_06,"Total precipitations (mm) - June, fruit-bearing year"
weather_current.total_precip_07,"Total precipitations (mm) - July, fruit-bearing year"
weather_current.total_precip_08,"Total precipitations (mm) - August, fruit-bearing year"
weather_current.mean_temp_04,"Mean temperature (°C) - April, fruit-bearing year"
weather_current.mean_temp_05,"Mean temperature (°C) - May, fruit-bearing year"
weather_current.mean_temp_06,"Mean temperature (°C) - June, fruit-bearing year"
weather_current.mean_temp_07,"Mean temperature (°C) - July, fruit-bearing year"
weather_current.mean_temp_08,"Mean temperature (°C) - August, fruit-bearing year"
weather_current.GDD_04,"Growing degree-days (°C) - April, fruit-bearing year"
weather_current.GDD_05,"Growing degree-days (°C) - May, fruit-bearing year"
weather_current.GDD_06,"Growing degree-days (°C) - June, fruit-bearing year"
weather_current.GDD_07,"Growing degree-days (°C) - July, fruit-bearing year"
weather_current.GDD_08,"Growing degree-days (°C) - August, fruit-bearing year"
weather_current.frozen_04,"Number of freezing days - April, fruit-bearing year"
weather_current.frozen_05,"Number of freezing days - May, fruit-bearing year"
weather_current.frozen_06,"Number of freezing days - June, fruit-bearing year"
weather_current.frozen_07,"Number of freezing days - July, fruit-bearing year"
weather_current.frozen_08,"Number of freezing days - August, fruit-bearing year"
weather_current.toowarm_04,"Number of days > 26°C - April, fruit-bearing year"
weather_current.toowarm_05,"Number of days > 26°C - May, fruit-bearing year"
weather_current.toowarm_06,"Number of days > 26°C - June, fruit-bearing year"
weather_current.toowarm_07,"Number of days > 26°C - July, fruit-bearing year"
weather_current.toowarm_08,"Number of days > 26°C - August, fruit-bearing year"
weather_current.GDD,"Growing degree days (>5°C), fruit-bearing year"
weather_before.total_precip_04,"Total precipitations (mm) - April, 6-years average"
weather_before.total_precip_05,"Total precipitations (mm) - May, 6-years average"
weather_before.total_precip_06,"Total precipitations (mm) - June, 6-years average"
weather_before.total_precip_07,"Total precipitations (mm) - July, 6-years average"
weather_before.total_precip_08,"Total precipitations (mm) - August, 6-years average"
weather_before.mean_temp_04,"Mean temperature (°C) - April, 6-years average"
weather_before.mean_temp_05,"Mean temperature (°C) - May, 6-years average"
weather_before.mean_temp_06,"Mean temperature (°C) - June, 6-years average"
weather_before.mean_temp_07,"Mean temperature (°C) - July, 6-years average"
weather_before.mean_temp_08,"Mean temperature (°C) - August, 6-years average"
weather_before.GDD_04,"Growing degree-days (°C) - April, 6-years average"
weather_before.GDD_05,"Growing degree-days (°C) - May, 6-years average"
weather_before.GDD_06,"Growing degree-days (°C) - June, 6-years average"
weather_before.GDD_07,"Growing degree-days (°C) - July, 6-years average"
weather_before.GDD_08,"Growing degree-days (°C) - August, 6-years average"
weather_before.frozen_04,"Number of freezing days - April, 6-years average"
weather_before.frozen_05,"Number of freezing days - May, 6-years average"
weather_before.frozen_06,"Number of freezing days - June, 6-years average"
weather_before.frozen_07,"Number of freezing days - July, 6-years average"
weather_before.frozen_08,"Number of freezing days - August, 6-years average"
weather_before.toowarm_04,"Number of days > 26°C - April, 6-years average"
weather_before.toowarm_05,"Number of days > 26°C - May, 6-years average"
weather_before.toowarm_06,"Number of days > 26°C - June, 6-years average"
weather_before.toowarm_07,"Number of days > 26°C - July, 6-years average"
weather_before.toowarm_08,"Number of days > 26°C - August, 6-years average"
weather_before.GDD_before,"Growing degree days (>5°C), 6-years average"
weather_2years.total_precip_curr,"Seasonal total precipitations (mm), fruit-bearing year"
weather_2years.mean_temp_curr,"Seasonal mean temperature (°C), fruit-bearing year"
weather_2years.GDD_curr,"Seasonal growing degree-days (°C), fruit-bearing year"
weather_2years.frozen_curr,"Seasonal number of freezing days, fruit-bearing year"
weather_2years.total_precip_prev,"Seasonal total precipitations (mm), vegetative year"
weather_2years.mean_temp_prev,"Seasonal mean temperature (°C), vegetative year"
weather_2years.GDD_prev,"Seasonal growing degree-days (°C), vegetative year"
weather_2years.frozen_prev,"Seasonal number of freezing days, vegetative year"
Soil_Fv.MgCaKP,"Soil [Fv | Mg,Ca,K,P]"
Soil_MgCaK.P,"Soil [Mg,Ca,K | P]"
Soil_MgCa.K,"Soil [Mg,Ca | K]"
Soil_Mg.Ca,Soil [Mg | Ca]
Leaf_Fv.BAlMgCaKPN,"Leaf [Fv | B,Al,Mg,Ca,K,P,N]"
Leaf_Al.BMgCaKPN,"Leaf [Al | B,Mg,Ca,K,P,N]"
Leaf_B.MgCaKPN,"Leaf [B | Mg,Ca,K,P,N]"
Leaf_MgCaK.PN,"Leaf [Mg,K | P,N]"
Leaf_P.N,Leaf [P | N]
Leaf_MgCa.K,"Leaf [Mg,Ca | K]"
Leaf_Mg.Ca,Leaf [Mg | Ca]
"`weather_current.total_precip_Before flower bud opening`","Total precipitations (mm) - Before flower bud opening"
"`weather_current.total_precip_Flower bud opening`","Total precipitations (mm) - Flower bud opening"
"`weather_current.total_precip_Flower open`","Total precipitations (mm) - Flower open"
"`weather_current.total_precip_Fruit maturation`","Total precipitations (mm) - Fruit maturation"
"`weather_current.total_precip_After fruit maturation`","Total precipitations (mm) - After fruit maturation"
"`weather_current.mean_temp_Before flower bud opening`","Mean temperature (°C) - Before flower bud opening"
"`weather_current.mean_temp_Flower bud opening`","Mean temperature (°C) - Flower bud opening"
"`weather_current.mean_temp_Flower open`","Mean temperature (°C) - Flower open"
"`weather_current.mean_temp_Fruit maturation`","Mean temperature (°C) - Fruit maturation"
"`weather_current.mean_temp_After fruit maturation`","Mean temperature (°C) - After fruit maturation"
"`weather_current.GDD_Before flower bud opening`","Growing degree-days (°C) - Before flower bud opening"
"`weather_current.GDD_Flower bud opening`","Growing degree-days (°C) - Flower bud opening"
"`weather_current.GDD_Flower open`","Growing degree-days (°C) - Flower open"
"`weather_current.GDD_Fruit maturation`","Growing degree-days (°C) - Fruit maturation"
"`weather_current.GDD_After fruit maturation`","Growing degree-days (°C) - After fruit maturation"
"`weather_current.frozen_Before flower bud opening`","Number of freezing days - Before flower bud opening"
"`weather_current.frozen_Flower bud opening`","Number of freezing days - Flower bud opening"
"`weather_current.frozen_Flower open`","Number of freezing days - Flower open"
"`weather_current.frozen_Fruit maturation`","Number of freezing days - Fruit maturation"
"`weather_current.frozen_After fruit maturation`","Number of freezing days - After fruit maturation"
"`weather_current.toowarm_Before flower bud opening`","Number of days > 26°C - Before flower bud opening"
"`weather_current.toowarm_Flower bud opening`","Number of days > 26°C - Flower bud opening"
"`weather_current.toowarm_Flower open`","Number of days > 26°C - Flower open"
"`weather_current.toowarm_Fruit maturation`","Number of days > 26°C - Fruit maturation"
"`weather_current.toowarm_After fruit maturation`","Number of days > 26°C - After fruit maturation"
"`weather_before.total_precip_Before flower bud opening`","Total precipitations (mm) - Before flower bud opening, 6-years average"
"`weather_before.total_precip_Flower bud opening`","Total precipitations (mm) - Flower bud opening, 6-years average"
"`weather_before.total_precip_Flower open`","Total precipitations (mm) - Flower open, 6-years average"
"`weather_before.total_precip_Fruit maturation`","Total precipitations (mm) - Fruit maturation, 6-years average"
"`weather_before.total_precip_After fruit maturation`","Total precipitations (mm) - After fruit maturation, 6-years average"
"`weather_before.mean_temp_Before flower bud opening`","Mean temperature (°C) - Before flower bud opening, 6-years average"
"`weather_before.mean_temp_Flower bud opening`","Mean temperature (°C) - Flower bud opening, 6-years average"
"`weather_before.mean_temp_Flower open`","Mean temperature (°C) - Flower open, 6-years average"
"`weather_before.mean_temp_Fruit maturation`","Mean temperature (°C) - Fruit maturation, 6-years average"
"`weather_before.mean_temp_After fruit maturation`","Mean temperature (°C) - After fruit maturation, 6-years average"
"`weather_before.GDD_Before flower bud opening`","Growing degree-days (°C) - Before flower bud opening, 6-years average"
"`weather_before.GDD_Flower bud opening`","Growing degree-days (°C) - Flower bud opening, 6-years average"
"`weather_before.GDD_Flower open`","Growing degree-days (°C) - Flower open, 6-years average"
"`weather_before.GDD_Fruit maturation`","Growing degree-days (°C) - Fruit maturation, 6-years average"
"`weather_before.GDD_After fruit maturation`","Growing degree-days (°C) - After fruit maturation, 6-years average"
"`weather_before.frozen_Before flower bud opening`","Number of freezing days - Before flower bud opening, 6-years average"
"`weather_before.frozen_Flower bud opening`","Number of freezing days - Flower bud opening, 6-years average"
"`weather_before.frozen_Flower open`","Number of freezing days - Flower open, 6-years average"
"`weather_before.frozen_Fruit maturation`","Number of freezing days - Fruit maturation, 6-years average"
"`weather_before.frozen_After fruit maturation`","Number of freezing days - After fruit maturation, 6-years average"
"`weather_before.toowarm_Before flower bud opening`","Number of days > 26°C - Before flower bud opening, 6-years average"
"`weather_before.toowarm_Flower bud opening`","Number of days > 26°C - Flower bud opening, 6-years average"
"`weather_before.toowarm_Flower open`","Number of days > 26°C - Flower open, 6-years average"
"`weather_before.toowarm_Fruit maturation`","Number of days > 26°C - Fruit maturation, 6-years average"
"`weather_before.toowarm_After fruit maturation`","Number of days > 26°C - After fruit maturation, 6-years average"